Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000238009,RP11-34P13.7,0.00050748898341912234,1.4532357016599029,0.62952092746167443,0.0,-0.1773009965356156,1.0,0.0,0.85186567913480538,1.0
ENSG00000279928,FO538757.3,0.0010149779668382447,-1.2837298925063028,0.6906772276721137,0.00474511535320183,1.9926240049066966,0.21191953155793231,0.00098791569073592052,-0.60756593950249105,1.0
ENSG00000279457,FO538757.2,0.14767929417496459,-0.79573159203834076,0.020641834383414787,0.28114808467720842,0.71730322574507421,0.0279908286696108,0.21635353627116657,0.05202481073450782,1.0
ENSG00000228463,AP006222.2,0.0010149779668382447,-0.28372989250630276,1.0,0.002372557676600915,1.5596645976305901,0.37453825883059028,0.0,-0.95548924292279835,0.67208136228800985
ENSG00000237094,RP4-669L17.10,0.0020299559336764894,1.1902012958261086,0.46764646430031392,0.0011862788383004575,0.085733409298178742,1.0,0.0,-0.95548924292279835,0.67208136228800985
ENSG00000230021,RP5-857K21.4,0.00050748898341912234,1.4532357016599029,0.62952092746167443,0.0,-0.1773009965356156,1.0,0.0,0.85186567913480538,1.0
ENSG00000229905,RP11-206L10.4,0.00050748898341912234,1.4532357016599029,0.62952092746167443,0.0,-0.1773009965356156,1.0,0.0,0.85186567913480538,1.0
ENSG00000237491,RP11-206L10.9,0.0060898678010294681,-0.49018076997372972,0.6107160337708476,0.0083039518681032026,0.20602764301589094,0.9078973212687923,0.0098791569073592052,0.55640979560863446,0.68104197501965902
ENSG00000177757,FAM87B,0.0,-1.1317267990612532,0.71447643815838036,0.0011862788383004575,2.4076615041855405,0.26587867896548367,0.0,0.2669031784136493,1.0
ENSG00000225880,LINC00115,0.016239647469411915,0.4532357016599029,0.52289577811520682,0.011269648963854347,-0.37893485770526514,0.64543604153937495,0.012842903979566967,-0.041219116948682633,1.0
ENSG00000230368,FAM41C,0.0,-1.5467642983400971,0.48476370275765163,0.0011862788383004575,1.4076615041855405,0.49878392807735356,0.00098791569073592052,1.2669031784136493,0.81139310102406814
ENSG00000188976,NOC2L,0.15326167299257493,-0.1892866882065416,0.71729848706377308,0.15955450375141153,-0.083478974179094223,0.95121111349896537,0.20054688521939185,0.36441968432791194,0.49339873493006831
ENSG00000187961,KLHL17,0.0035524228839338562,-0.63422713959043708,0.59724179475534389,0.0077108124489529738,1.1706223068846926,0.19008296411528322,0.0029637470722077616,-0.54045174364395443,0.81139310102406814
ENSG00000187583,PLEKHN1,0.00050748898341912234,-1.8686923932274588,0.1581699704140293,0.0029656970957511438,0.8226990034643844,0.54290112041689753,0.0039516627629436821,1.3664388519645643,0.54085765132078822
ENSG00000188290,HES4,0.0010149779668382447,-6.0278909880767131,1.2814601750541733e-23,0.15599566723651018,6.0597382007652341,4.430374895533258e-37,0.0039516627629436821,-3.8814886614790214,2.746035892915484e-08
ENSG00000187608,ISG15,0.25019206882562728,-1.2936253582511701,4.5902372981091218e-05,0.64118371210139724,0.83878870600269129,0.0081120057549782798,0.56903943786389022,0.40315707450564675,0.4341945022918704
ENSG00000224969,RP11-54O7.11,0.0010149779668382447,0.038198202381058977,1.0,0.0,-1.7622634972567717,0.32749455914404152,0.0029637470722077616,2.2669031784136493,0.25735282341136989
ENSG00000188157,AGRN,0.001522466950257367,-1.5467642983400962,0.119247442611825,0.0083039518681032026,2.4076615041855414,0.0057242694174447321,0.00098791569073592052,-1.3180593223075068,0.45075987347430424
ENSG00000131591,C1orf159,0.012179735602058936,-0.032191125510338203,1.0,0.013049067221305033,0.13680759389244823,0.95990349632512861,0.011854988288831046,-0.0022834544017404923,1.0
ENSG00000223823,LINC01342,0.0025374449170956115,3.038198202381059,0.050050292669069345,0.0,-1.7622634972567717,0.32749455914404152,0.0,-0.7330968215863507,0.87941721626459657
ENSG00000272141,RP11-465B22.8,0.0,-0.5467642983400971,1.0,0.00059313941915022875,1.8226990034643844,0.54107442072756584,0.0,0.85186567913480538,1.0
ENSG00000205231,TTLL10-AS1,0.00050748898341912234,1.4532357016599029,0.62952092746167443,0.0,-0.1773009965356156,1.0,0.0,0.85186567913480538,1.0
ENSG00000162571,TTLL10,0.00050748898341912234,1.4532357016599029,0.62952092746167443,0.0,-0.1773009965356156,1.0,0.0,0.85186567913480538,1.0
ENSG00000186891,TNFRSF18,0.026389427137794359,-0.80752853054906382,0.10625386325391191,0.0011862788383004575,-5.0599440458974563,1.9165232142242203e-14,0.12250154565125414,3.0362902502722333,4.0430618831060084e-13
ENSG00000186827,TNFRSF4,0.036539206806176804,0.41424157004403916,0.50441030547842225,0.0017794182574506863,-4.3472259979779269,4.4115283782046778e-11,0.070142014042250359,1.7738631671335328,0.00036008014660984116
ENSG00000078808,SDF4,0.26084933747742889,-0.71076318491499868,0.036288070247527379,0.33512377181987923,-0.1398598292951152,0.81408433845042705,0.58089442615272124,0.97717390591443531,0.0079464839286382764
ENSG00000176022,B3GALT6,0.034001761889081196,-0.57824252981326474,0.20491386147128721,0.053382547723520586,0.47251264853550978,0.28895747337122046,0.047419953155324185,0.16279477507291062,0.90693191216182123
ENSG00000184163,FAM132A,0.0010149779668382447,0.038198202381058977,1.0,0.0011862788383004575,0.40766150418554048,1.0,0.00098791569073592052,0.52993758424744364,1.0
