Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000157916,RER1,0.23160989655340553,-0.33318951692963927,0.38709445840799617,0.29436022038069937,0.35001286466441961,0.36380363719136277,0.1938591662078975,-0.25884929530190304,1.0
ENSG00000157911,PEX10,0.053037521616018726,0.22814160215311841,0.71026196712166667,0.046200034588899007,-0.16686751326428073,0.82687569391616356,0.0,-1.1013606627731232,1.0
ENSG00000149527,PLCH2,0.019841374993042976,4.9765261592760339,8.0808438078503654e-08,0.0,-4.9152520703871962,1.7861851229053436e-07,0.0,0.88496440032979962,1.0
ENSG00000157881,PANK4,0.019459810089330613,-0.095348696504527375,0.99300162816131865,0.021120015812068117,0.15662278539336505,0.88283832919574623,0.0,0.22056743211423857,1.0
ENSG00000272449,RP3-395M20.12,0.08318114900929556,0.48423395320597606,0.28580282776544114,0.057420042989060192,-0.53525491924430391,0.23937448618257029,0.12116197887993593,0.94045951292150365,1.0
ENSG00000238164,RP3-395M20.8,0.015644161052206965,0.73403253188307627,0.32363551015371717,0.0085800064236526731,-0.80624144846849077,0.27630805393401026,0.024232395775987188,1.8315251413683393,1.0
ENSG00000157873,TNFRSF14,0.53800651423443457,0.3557568808852859,0.38867969293758803,0.42570031871199798,-0.32361647552211603,0.47141498326155912,0.21809156198388469,-1.0708115994135166,1.0
ENSG00000228037,RP3-395M20.9,0.00038156490371236496,0.24860570471283339,1.0,0.0,-0.1873316158239966,1.0,0.0,5.6128848548929993,1.0
ENSG00000157870,FAM213B,0.016788855763344056,-0.066896121015095567,1.0,0.015840011859051088,-0.12843792677042831,0.98645675686053891,0.072697187327961557,2.5043603981148306,0.69386641372713964
ENSG00000142606,MMEL1,0.005723473555685474,-1.6582848908956844,0.0084484610195499701,0.019140014329686733,1.7195589797845221,0.0077459806388356272,0.0,1.1210317585633245,1.0
ENSG00000215912,TTC34,0.0011446947111370949,-0.75139429528716661,0.85981144611676041,0.001980001482381386,0.8126683841760034,0.67967701477417797,0.0,3.8055299328353955,1.0
