PC,Proportion.Variance.Explained
1,0.013497512974240265
2,0.009424460149051057
3,0.0061707766749506104
4,0.0038078453793220393
5,0.0029111572247329386
6,0.0025121906955594634
7,0.0020742310126571802
8,0.0018725073886958501
9,0.0018103546098378182
10,0.0013707646416575103
