Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean UMI Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000187583,PLEKHN1,0.002546573917948514,-0.11770921181823191,1.0,0.0041397080669535119,0.91185188978198095,0.58571020156437947,0.0017924020385305128,-0.41921273441475826,0.97572577756857881,0.0,2.9124451367519066,1.0
ENSG00000188290,HES4,0.003819860876922771,-5.0953525803486368,2.7357644697319597e-21,0.25873175418459454,4.6590858194020131,6.0840645867289434e-33,0.018820221404570382,-2.6627408258970702,2.7945196101528995e-07,0.0,-2.0417511736349683,1.0
ENSG00000187608,ISG15,0.2431978091640831,-1.2402199849590148,0.00031086766683129807,0.77688521389827581,1.4859741999684695,6.9791316121098533e-07,0.3351791812052059,-0.55337392164205856,0.28592803503520536,0.0,-4.2659324297212287,1.0
ENSG00000224969,RP11-54O7.11,0.002546573917948514,2.0522157896240802,0.25903131227057763,0.00068995134449225206,-0.41007620510538167,1.0,0.0,-1.129706117219774,0.89796097525821594,0.0,4.0279223541718432,1.0
ENSG00000188157,AGRN,0.00063664347948712849,-1.5916404001506468,0.28270436920952724,0.0062095621004302683,3.2337799846693427,0.0038852537241072186,0.0,-2.0041752351359143,0.2450407486959138,0.0,3.1534532362557011,1.0
ENSG00000131591,C1orf159,0.01273286958974257,-0.047319883926835615,1.0,0.013109075545352789,0.024326619040392572,1.0,0.014339216308244102,0.22079112986435856,0.93650602603171906,0.0,0.80552993283539465,1.0
ENSG00000272141,RP11-465B22.8,0.0,-0.26971230526328327,1.0,0.0,-0.088148110218019937,1.0,0.00089620101926525639,2.4552563835013821,0.52752524719320759,0.0,5.6128848548929993,1.0
ENSG00000162571,TTLL10,0.0,-1.2697123052632833,0.56055206559409221,0.0,-1.0881481102180199,0.74721712573814458,0.002688603057795769,3.4552563835013821,0.090955834309291855,0.0,4.6128848548929993,1.0
ENSG00000186891,TNFRSF18,0.035015391371792069,-0.84606167567973145,0.07910109534953555,0.00068995134449225206,-5.8760506696094517,7.4740785875544499e-18,0.14787316817876731,2.9974058006835644,3.0417989964574004e-15,0.0,-1.1815310114571069,1.0
ENSG00000186827,TNFRSF4,0.065574278387174237,1.7028069583146097,3.1248152763282272e-05,0.0062095621004302683,-2.9658923601670217,2.6671085097947659e-08,0.03853664382840602,0.094509039723490673,1.0,0.0,-0.67251736396924944,1.0
ENSG00000078808,SDF4,0.25784060919228707,-0.71159346366948961,0.054337730404023683,0.26770112166299381,-0.61380478217679446,0.10749634658645647,0.63451032163980148,1.2810420109661733,7.045532719810371e-05,0.14539437465592311,-1.1324293205636682,1.0
ENSG00000176022,B3GALT6,0.040745182687176223,-0.1780818297977147,0.83634851827992129,0.033807615880120351,-0.54232400340382192,0.28900136501600848,0.063630272367833196,0.77969133399931811,0.11265301311398226,0.024232395775987188,0.08150339437668741,1.0
ENSG00000184163,FAM132A,0.00063664347948712849,-1.2697123052632833,0.59155601482054065,0.0027598053779690082,0.91185188978198006,0.72896392920081066,0.002688603057795769,0.87029388278022601,0.7502106199215226,0.0,3.4429598534506871,1.0
ENSG00000260179,RP5-902P8.12,0.0,-0.26971230526328327,1.0,0.00068995134449225206,1.9118518897819801,0.5420767710240606,0.0,0.45525638350138209,1.0,0.0,5.6128848548929993,1.0
ENSG00000160087,UBE2J2,0.15343107855639798,-0.28158640555157488,0.6071474488021481,0.15592900385524897,-0.2360142127326319,0.66301939460017056,0.23032366195117088,0.58384058956279405,0.15905369137065709,0.096929583103948752,-0.56702423512193523,1.0
ENSG00000162572,SCNN1D,0.00063664347948712849,-1.2697123052632833,0.57718817112889598,0.0034497567224612601,1.496814390503137,0.34225389235487447,0.0017924020385305128,0.23286396216493443,1.0,0.0,3.4429598534506871,1.0
ENSG00000131584,ACAP3,0.03310546093333068,-0.63982393366061086,0.21263673486241672,0.065545377726763943,0.94222553882549898,0.020656159805258773,0.036744241789875509,-0.36187955934880822,0.65610439897918416,0.0,-0.94935756932807358,1.0
