Gene,Normalized.Dispersion
ENSG00000238009,5.6911852429904801
ENSG00000279928,21.855241186060582
ENSG00000279457,-0.16466615256260692
ENSG00000228463,-0.11159677397209665
ENSG00000237094,-0.051550772932405793
ENSG00000230021,-0.71055979643765965
ENSG00000229905,0.94291338582677375
ENSG00000237491,-0.72495286946344228
ENSG00000177757,-0.19300748394722234
ENSG00000225880,-1.0405916372005051
ENSG00000230368,0.035640258530740612
ENSG00000188976,-1.0038216483186095
ENSG00000187961,1.3245241764255895
ENSG00000187583,-0.43836861899052854
ENSG00000188290,3.6656260840798764
ENSG00000187608,4.5193910861274746
ENSG00000224969,-0.11901105098875585
ENSG00000188157,-1.5941870422515001
ENSG00000131591,-1.3322443360585348
ENSG00000223823,-0.62784476828644475
ENSG00000272141,-0.55511811023621971
ENSG00000205231,2.1653543307086629
ENSG00000162571,-0.61811023622047256
ENSG00000186891,8.9302963814972713
ENSG00000186827,9.0645221849022217
ENSG00000078808,-0.45344770152840458
ENSG00000176022,-2.2461285099954016
ENSG00000184163,1.111321110101456
ENSG00000260179,-0.74015748031495909
ENSG00000160087,-0.50438091669841389
ENSG00000162572,-1.8310123206782591
ENSG00000131584,1.8939373104936026
ENSG00000169972,-1.7834699980777329
ENSG00000127054,-1.9190892561516255
ENSG00000224051,-2.4936483451739422
ENSG00000169962,0.091863335500751764
ENSG00000107404,0.5215735552659061
ENSG00000162576,-0.83711080358834189
ENSG00000175756,-0.2836827264030175
ENSG00000221978,0.97909655802728301
ENSG00000242485,-0.84445932002059543
ENSG00000272455,-0.23731952995841682
ENSG00000235098,-2.2463955003717158
ENSG00000215915,-0.89685057239563792
ENSG00000160072,0.56383882374607264
ENSG00000197785,-0.17145911762195995
ENSG00000205090,0.9212598425196854
ENSG00000160075,-0.80709206024276603
ENSG00000215014,2.6422756576147304
ENSG00000228594,0.72346683961426617
ENSG00000272106,-0.39754779479112834
ENSG00000197530,0.31158362247119115
ENSG00000189409,4.215105265936594
ENSG00000248333,1.182558127950988
ENSG00000272004,1.579598515326289
ENSG00000189339,-0.87069725518269114
ENSG00000008128,0.11757348807370115
ENSG00000215790,-1.4063169275086982
ENSG00000008130,0.73925674292475863
ENSG00000078369,0.74215059890357959
ENSG00000231050,-0.47512892263054796
ENSG00000178821,0.7283464566929152
ENSG00000067606,2.3508177436177888
ENSG00000271806,9.820535250392286
ENSG00000182873,5.8775578335961312
