PC,Proportion.Variance.Explained
1,0.014752552957316121
2,0.0060892235772339771
3,0.0042280433668185876
4,0.0038914215559373399
5,0.003012444358933409
6,0.0026248267897144026
7,0.0021032690786078898
8,0.0020019838323648469
9,0.0017292188068575149
10,0.0014614682038041511
