Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,RP11-34P13.7,0.00033507836239355331,0.17508052705088417,1.0,0.0,-0.17508052705088417,1.0
ENSG00000279928,FO538757.3,0.00100523508718066,-1.9948444743914289,0.21143826134857227,0.0047497871979159919,1.9948444743914289,0.21143826134857227
ENSG00000279457,FO538757.2,0.17122504318310575,-0.71366272184737545,0.028855680710505729,0.28083116807678299,0.71366272184737545,0.028855680710505729
ENSG00000228463,AP006222.2,0.00067015672478710662,-1.5618850671153233,0.37466293865249206,0.0023748935989579959,1.5618850671153233,0.37466293865249195
ENSG00000237094,RP4-669L17.10,0.0013403134495742132,-0.087953878782910166,1.0,0.001187446799478998,0.087953878782910166,1.0
ENSG00000230021,RP5-857K21.4,0.00033507836239355331,0.17508052705088417,1.0,0.0,-0.17508052705088417,1.0
ENSG00000229905,RP11-206L10.4,0.00033507836239355331,0.17508052705088417,1.0,0.0,-0.17508052705088417,1.0
ENSG00000237491,RP11-206L10.9,0.0073717239726581738,-0.20824811250062147,0.90791832075988832,0.0083121275963529851,0.20824811250062147,0.90791832075988832
ENSG00000177757,FAM87B,0.0,-2.4098819736702719,0.26537678207369514,0.001187446799478998,2.4098819736702719,0.26537678207369514
ENSG00000225880,LINC00115,0.015078526307709899,0.3767143882205346,0.64566286050188504,0.01128074459505048,-0.3767143882205346,0.64566286050188504
ENSG00000230368,FAM41C,0.00033507836239355331,-1.4098819736702719,0.49819460734233245,0.001187446799478998,1.4098819736702719,0.49819460734233245
ENSG00000188976,NOC2L,0.16921457300874443,0.081258504694363243,0.95997524071385498,0.15971159452992523,-0.081258504694363243,0.95997524071385498
ENSG00000187961,KLHL17,0.0033507836239355334,-1.1728427763694222,0.18998558144607675,0.0077184041966134867,1.1728427763694222,0.18998558144607694
ENSG00000187583,PLEKHN1,0.0016753918119677667,-0.82491947294911583,0.54248773811073692,0.0029686169986974948,0.82491947294911583,0.54248773811073692
ENSG00000188290,HES4,0.00201047017436132,-6.0619586702499664,3.9000697040778974e-37,0.15614925413148822,6.0619586702499664,4.1167402431933367e-37
ENSG00000187608,ISG15,0.35819876939870854,-0.84100917548742204,0.0079310950668332325,0.64181499511839835,0.84100917548742204,0.0079310950668332325
ENSG00000224969,RP11-54O7.11,0.0016753918119677667,1.7600430277720402,0.32761667929187688,0.0,-1.7600430277720402,0.32761667929187688
ENSG00000188157,AGRN,0.0013403134495742132,-2.4098819736702728,0.0057152991219834312,0.0083121275963529851,2.4098819736702728,0.0057152991219834312
ENSG00000131591,C1orf159,0.01206282104616792,-0.13902806337717877,0.95969809019101182,0.013061914794268978,0.13902806337717877,0.95969809019101182
ENSG00000223823,LINC01342,0.0016753918119677667,1.7600430277720402,0.32761667929187688,0.0,-1.7600430277720402,0.32761667929187688
ENSG00000272141,RP11-465B22.8,0.0,-1.8249194729491158,0.54067669626948767,0.00059372339973949898,1.8249194729491158,0.54067669626948767
ENSG00000205231,TTLL10-AS1,0.00033507836239355331,0.17508052705088417,1.0,0.0,-0.17508052705088417,1.0
ENSG00000162571,TTLL10,0.00033507836239355331,0.17508052705088417,1.0,0.0,-0.17508052705088417,1.0
ENSG00000186891,TNFRSF18,0.05897379178126539,5.0577235764127257,1.9088569267670249e-14,0.001187446799478998,-5.0577235764127257,1.9088569267670249e-14
ENSG00000186827,TNFRSF4,0.047916205822278124,4.3450055284931963,4.4311907078234667e-11,0.0017811701992184968,-4.3450055284931963,4.4311907078234667e-11
ENSG00000078808,SDF4,0.36959143372008935,0.14149792652650262,0.80931214279986963,0.33485999745307743,-0.14149792652650262,0.80931214279986963
ENSG00000176022,B3GALT6,0.038534011675258634,-0.47473311802024032,0.28878514030353192,0.053435105976554903,0.47473311802024032,0.28878514030353192
ENSG00000184163,FAM132A,0.00100523508718066,-0.4098819736702719,1.0,0.001187446799478998,0.4098819736702719,1.0
ENSG00000260179,RP5-902P8.12,0.00033507836239355331,0.17508052705088417,1.0,0.0,-0.17508052705088417,1.0
ENSG00000160087,UBE2J2,0.19602084200022871,0.14101869097725084,0.82319399817484606,0.17752329652211019,-0.14101869097725084,0.82319399817484606
ENSG00000162572,SCNN1D,0.00067015672478710662,-1.8249194729491158,0.24247760798394688,0.0029686169986974948,1.8249194729491158,0.24247760798394688
ENSG00000131584,ACAP3,0.031832444427387564,-1.0728469863927019,0.0060413709551953351,0.067090744170563377,1.0728469863927019,0.0060413709551953411
ENSG00000169972,PUSL1,0.042554952023981275,-0.053738163444997156,0.9890099764896374,0.043935531580722921,0.053738163444997156,0.9890099764896374
ENSG00000127054,CPSF3L,0.18563341276602854,-0.043965866405573095,0.97721251260903663,0.19117893471611866,0.043965866405573095,0.97721251260903741
ENSG00000224051,CPTP,0.056963321606904066,0.61565311843686565,0.17528244396721759,0.036810850783848936,-0.61565311843686565,0.17528244396721759
ENSG00000169962,TAS1R3,0.00067015672478710662,0.76004302777204025,0.72275180971245145,0.0,-0.76004302777204025,0.72275180971245145
ENSG00000107404,DVL1,0.0036858619863290869,-1.7635189282849728,0.0093408095273531718,0.013061914794268978,1.7635189282849728,0.0093408095273531718
ENSG00000162576,MXRA8,0.0036858619863290869,2.7600430277720402,0.03933245736755784,0.0,-2.7600430277720402,0.039332457367557881
ENSG00000175756,AURKAIP1,0.44330867344667108,-0.77164467990676777,0.013475161574691542,0.75699733466786112,0.77164467990676777,0.013475161574691833
ENSG00000221978,CCNL2,0.10286905725482087,-0.049986028583889563,0.98366333976137044,0.10627648855337031,0.049986028583889563,0.98366333976137044
ENSG00000242485,MRPL20,0.32167522789781122,-0.59248388511711458,0.070134043597357185,0.48507201758717067,0.59248388511711458,0.070134043597357185
ENSG00000272455,RP4-758J18.13,0.00033507836239355331,-0.82491947294911583,1.0,0.00059372339973949898,0.82491947294911583,1.0
ENSG00000235098,ANKRD65,0.0026806268991484265,-0.23995697222795975,1.0,0.0029686169986974948,0.23995697222795975,1.0
ENSG00000215915,ATAD3C,0.0030157052615419799,2.4970086219382459,0.096283714724680711,0.0,-2.4970086219382459,0.096283714724680711
ENSG00000160072,ATAD3B,0.030492130977813354,-0.32372532992055802,0.5587898279470207,0.037998297583327935,0.32372532992055802,0.5587898279470207
