Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000279928,FO538757.3,0.0076325529219564321,-4.2950786107796199,1.577675945226179e-15,0.15672689211355964,4.2950786107796199,1.642943566355365e-15
ENSG00000279457,FO538757.2,0.19424847186379121,-0.43236169063870067,0.23670264644789726,0.26206791796037843,0.43236169063870067,0.23670264644789726
ENSG00000228463,AP006222.2,0.0,-1.7507580945558097,0.54699657536524515,0.0006423233283342608,1.7507580945558097,0.54699657536524515
ENSG00000237094,RP4-669L17.10,0.00076325529219564323,-1.1657955938346536,0.5714114874975027,0.0019269699850027824,1.1657955938346536,0.57141148749750259
ENSG00000230021,RP5-857K21.4,0.00038162764609782162,0.24924190544419034,1.0,0.0,-0.24924190544419034,1.0
ENSG00000237491,RP11-206L10.9,0.0045795317531738596,-1.2982458898583031,0.076422843851073632,0.011561819910016695,1.2982458898583031,0.076422843851073688
ENSG00000177757,FAM87B,0.0,-1.7507580945558097,0.54699657536524515,0.0006423233283342608,1.7507580945558097,0.54699657536524515
ENSG00000225880,LINC00115,0.020607892889282366,0.33016190082775765,0.65904812922965328,0.01605808320835652,-0.33016190082775765,0.65904812922965328
ENSG00000188976,NOC2L,0.16600802605255241,0.37357004044639197,0.39360807783179158,0.12782234233851789,-0.37357004044639197,0.39360807783179158
ENSG00000187961,KLHL17,0.0038162764609782161,-0.99176619405960498,0.35797969591278289,0.0077078799400111296,0.99176619405960498,0.35797969591278289
ENSG00000187583,PLEKHN1,0.0022897658765869298,-0.75075809455580966,0.57774686414554077,0.0038539399700055648,0.75075809455580966,0.57774686414554077
ENSG00000188290,HES4,0.0091590635063477192,-4.6729559429521768,4.1217630212398788e-32,0.24279821811035057,4.6729559429521768,4.2529100264611476e-32
ENSG00000187608,ISG15,0.27400864989823592,-1.4470243736581543,1.2001108315562581e-06,0.74766435418107957,1.4470243736581543,1.2001108315562603e-06
ENSG00000224969,RP11-54O7.11,0.0015265105843912865,0.57117000033155207,0.86033977932771455,0.0006423233283342608,-0.57117000033155207,0.86033977932771455
ENSG00000188157,AGRN,0.00038162764609782162,-3.0726861894431714,0.0058598597138199392,0.0057809099550083475,3.0726861894431714,0.0058598597138199392
ENSG00000131591,C1orf159,0.013738595259521577,0.13676717618577783,0.95790234327691381,0.012204143238350954,-0.13676717618577783,0.95790234327691381
ENSG00000272141,RP11-465B22.8,0.00038162764609782162,0.24924190544419034,1.0,0.0,-0.24924190544419034,1.0
ENSG00000162571,TTLL10,0.0011448829382934649,1.2492419054441903,0.50445914910344114,0.0,-1.2492419054441903,0.50445914910344114
ENSG00000186891,TNFRSF18,0.083958082141520757,6.0371444648356221,1.4514679737552849e-19,0.0006423233283342608,-6.0371444648356221,1.5101978917685049e-19
ENSG00000186827,TNFRSF4,0.055717636330281956,3.1269861553931921,2.2294574386138637e-09,0.0057809099550083475,-3.1269861553931921,2.2294574386138637e-09
ENSG00000078808,SDF4,0.42589645304516893,0.75994553181229696,0.029682229157487427,0.25114842137869597,-0.75994553181229696,0.029682229157487427
ENSG00000176022,B3GALT6,0.051519732223205918,0.66427940472303426,0.15264913332988289,0.032116166416713041,-0.66427940472303426,0.15264913332988289
ENSG00000184163,FAM132A,0.0015265105843912865,-0.75075809455580966,0.70906689616280161,0.0025692933133370432,0.75075809455580966,0.70906689616280105
ENSG00000260179,RP5-902P8.12,0.0,-1.7507580945558097,0.54699657536524515,0.0006423233283342608,1.7507580945558097,0.54699657536524515
ENSG00000160087,UBE2J2,0.19005056775671517,0.36038886936539338,0.41718713644093036,0.14773436551687999,-0.36038886936539338,0.41718713644093036
ENSG00000162572,SCNN1D,0.0011448829382934649,-1.3357205952769657,0.35537690212659107,0.0032116166416713038,1.3357205952769657,0.35537690212659084
ENSG00000131584,ACAP3,0.03510974344099959,-0.8115121256349056,0.051238460395170417,0.061663039520089037,0.8115121256349056,0.051238460395170417
ENSG00000169972,PUSL1,0.034346488148803943,-0.24296345435711419,0.68619910471436762,0.040466369685058429,0.24296345435711419,0.68619910471436762
ENSG00000127054,CPSF3L,0.16295500488376982,0.12034417226193295,0.86153786224957118,0.14966133550188276,-0.12034417226193295,0.86153786224957118
ENSG00000224051,CPTP,0.057625774560771066,0.79672970074668381,0.072449399584792795,0.032758489745047303,-0.79672970074668381,0.072449399584792795
ENSG00000169962,TAS1R3,0.00076325529219564323,-0.16579559383465359,1.0,0.0006423233283342608,0.16579559383465359,1.0
ENSG00000107404,DVL1,0.0049611593992716805,-0.94340317249820593,0.24620507178557735,0.0096348499250139118,0.94340317249820593,0.24620507178557735
ENSG00000162576,MXRA8,0.00038162764609782162,0.24924190544419034,1.0,0.0,-0.24924190544419034,1.0
ENSG00000175756,AURKAIP1,0.45032062239542947,-0.48160278416122293,0.16651271515240948,0.62883453843924131,0.48160278416122293,0.16651271515240834
ENSG00000221978,CCNL2,0.11448829382934649,-0.13184826191131593,0.79453423432775572,0.12525304902518086,0.13184826191131593,0.79453423432775572
ENSG00000242485,MRPL20,0.34346488148803944,-0.3190790912163235,0.40295668160932274,0.42842965999895194,0.3190790912163235,0.40295668160932274
ENSG00000235098,ANKRD65,0.00076325529219564323,-0.75075809455580966,0.79475508434791953,0.0012846466566685216,0.75075809455580966,0.79475508434791953
ENSG00000225905,RP4-758J18.7,0.0,-1.7507580945558097,0.54699657536524515,0.0006423233283342608,1.7507580945558097,0.54699657536524515
